"Month","Employee","Quota","Bookings","Attainment","Participation","Quota Held Flag","Attainment Bucket","Team","","","","","",""
"1/1/2011","Michael Scott"," $ 2,826 "," $ 9,227 ","326.50%","Y","Y","+300%","ENT IB","","","","","",""
"1/1/2011","Dwight Schrute"," $ 9,987 "," $ 5,489 ","54.96%","","Y","30-69%","ENT IB","","","","","",""
"1/1/2011","Jim Halpert"," $ 3,008 "," $ 8,242 ","274.00%","Y","Y","200-300%","ENT IB","","","","","",""
"1/1/2011","Pam Beesly"," $ 6,018 "," $ 5,334 ","88.63%","","Y","70-89%","ENT IB","","","","","",""
"1/1/2011","Ryan Howard"," $ 6,452 "," $ 5,881 ","91.15%","","Y","90-99%","ENT IB","","","","","",""
"1/1/2011","Andy Bernard"," $ 9,671 "," $ 7,084 ","73.25%","","Y","70-89%","ENT ACQ","","","","","",""
"1/1/2011","Robert California"," $ 3,427 "," $ 9,289 ","271.05%","Y","Y","200-300%","ENT ACQ","","","","","",""
"1/1/2011","Jan Levinson"," $ 1,527 "," $ 9,023 ","590.90%","Y","Y","+300%","ENT ACQ","","","","","",""
"1/1/2011","Roy Anderson"," $ 3,596 "," $ 9,333 ","259.54%","Y","Y","200-300%","ENT ACQ","","","","","",""
"1/1/2011","Stanley Hudson"," $ 1,139 "," $ 6,081 ","533.89%","Y","Y","+300%","ENT ACQ","","","","","",""
"1/1/2011","Kevin Malone"," $ 9,692 "," $ 6,847 ","70.65%","","Y","70-89%","MM IB","","","","","",""
"1/1/2011","Meredith Palmer"," $ 1,679 "," $ 7,209 ","429.36%","Y","Y","+300%","MM IB","","","","","",""
"1/1/2011","Angela Martin"," $ 5,224 "," $ 8,963 ","171.57%","Y","Y","100-200%","MM IB","","","","","",""
"1/1/2011","Oscar Martinez"," $ 1,117 "," $ 5,118 ","458.19%","Y","Y","+300%","MM IB","","","","","",""
"1/1/2011","Phyllis Lapin"," $ 8,811 "," $ 7,292 ","82.76%","","Y","70-89%","MM IB","","","","","",""
"1/1/2011","Kelly Kapoor"," $ 6,349 "," $ 6,313 ","99.43%","","Y","+300%","MM IB","","","","","",""
"1/1/2011","Toby Flenderson"," $ 1,027 "," $ 9,467 ","921.81%","Y","Y","+300%","MM ACQ","","","","","",""
"1/1/2011","Creed Bratton"," $ 6,868 "," $ 9,315 ","135.63%","Y","Y","100-200%","MM ACQ","","","","","",""
"1/1/2011","Darryl Philbin"," $ 9,674 "," $ 9,887 ","102.20%","Y","Y","100-200%","MM ACQ","","","","","",""
"1/1/2011","Kelly Erin Hannon"," $ 2,316 "," $ 7,049 ","304.36%","Y","Y","+300%","MM ACQ","","","","","",""
"1/1/2011","Gabe Lewis"," $ 3,581 "," $ 7,284 ","203.41%","Y","Y","200-300%","MM ACQ","","","","","",""
"1/1/2011","Holly Flax"," $ 8,748 "," $ 7,910 ","90.42%","","Y","90-99%","SB IB","","","","","",""
"1/1/2011","Nellie Bertram"," $ 5,808 "," $ 8,357 ","143.89%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2011","Clark Green"," $ 6,686 "," $ 8,055 ","120.48%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2011","Pete Miller"," $ 2,854 "," $ 9,201 ","322.39%","Y","Y","+300%","SB IB","","","","","",""
"1/1/2011","Todd Packer"," $ 5,507 "," $ 8,974 ","162.96%","Y","Y","100-200%","SB IB","","","","","",""
"1/1/2011","David Wallace"," $ 7,653 "," $ 6,868 ","89.74%","","Y","+300%","SB ACQ","","","","","",""
"1/1/2011","Karen Filippelli"," $ 2,245 "," $ 5,948 ","264.94%","Y","Y","200-300%","SB ACQ","","","","","",""
"1/1/2011","Charles Miner"," $ 3,406 "," $ 7,849 ","230.45%","Y","Y","200-300%","SB ACQ","","","","","",""
"1/1/2011","Jo Bennett"," $ 4,148 "," $ 6,010 ","144.89%","Y","Y","100-200%","SB ACQ","","","","","",""
"1/1/2011","Robert Lipton"," $ 9,606 "," $ 9,445 ","98.32%","","Y","90-99%","SB ACQ","","","","","",""
